,Sections,Average GPA,Courses w/ no GPA,Total Time Gap,Earliest Time,Latest Time,Earliest Time (Minutes),Latest Time (Minutes),Quality Score (Rigved),Quality Score (Brandon),Quality Score (Shayar,Quality Score (g),Quality Score (Suraj,Quality Score
10,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6390': ('A', ['34264', [[16, 'MW', 'Klaus Advanced Computing 2447', 6, ['Vivek Sarkar (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6725': ('A', ['28747', [[5, 'M', 'Scheller College of Business 200', 0, ['Peter Swire (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7785': ('HC', ['30846', [[20, 'MWF', 'Manufacture Rel Discip Complex 2407', 17, ['Sean Wilson (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.708166667,0,725,930,2115,570,1275,4,4,3,5,4,4
11,"{'CSE 6242': ('A', ['24376', [[14, 'TR', 'Clough UG Learning Commons 152', 16, ['Duenhorng Chau (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7455': ('A', ['29357', [[1, 'MW', 'Clough UG Learning Commons 262', 16, ['Elizabeth Disalvo (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7643': ('A', ['25932', [[0, 'WF', 'Clough UG Learning Commons 152', 16, ['Zsolt Kira (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7545': ('A', ['31944', [[16, 'TR', 'Weber SST III 1', 10, ['Jacob Abernethy (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.730714815,0,45,1230,1815,750,1095,6,8,7,7,9,7.4
12,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6457': ('A', ['24107', [[3, 'MW', 'Mason 1133', 9, ['Jeffrey Wilson (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6644': ('A', ['29723', [[7, 'MW', 'Clough UG Learning Commons 102', 16, ['Molei Tao (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6263': ('A', ['34255', [[14, 'MW', 'Van Leer C340', 18, ['Sukarno Mertoguno (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.714120614,0,600,930,1815,570,1095,5,6,5,6,5,5.4
13,"{'CS 6727': ('A01', ['27934', [[2, '', 'TBA', 1, ['Vijay Madisetti (P)'], 0, -1, -1]], 0, 6, 0, [], -1]), 'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6740': ('PAN', ['29687', [[3, 'TR', 'Clough UG Learning Commons 102', 16, ['Anqi Wu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6400': ('A', ['33673', [[16, 'TR', 'Instructional Center 115', 3, ['Shamkant Navathe (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.707763889,0,570,930,1645,570,1005,4,6,5,6,5,5.2
14,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6457': ('A', ['24107', [[3, 'MW', 'Mason 1133', 9, ['Jeffrey Wilson (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 8803': ('CDS', ['33668', [[1, 'MW', 'Molecular Sciences and Engr G021', 26, ['Nisha Chandramoorthy (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.731622807,0,420,930,1645,570,1005,5,6,7,6,7,6.2
15,"{'CS 7648': ('A', ['33416', [[15, 'TR', 'College of Computing 101', 13, ['Matthew Gombolay (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6727': ('A', ['26619', [[19, 'F', 'Clough UG Learning Commons 102', 16, ['Vijay Madisetti (P)'], 0, -1, -1]], 5, 0, 0, [], -1]), 'CS 7751': ('A', ['29923', [[1, 'MW', 'Klaus Advanced Computing 2443', 6, ['Faramarz Fekri (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7545': ('A', ['31944', [[16, 'TR', 'Weber SST III 1', 10, ['Jacob Abernethy (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.646805556,0,750,800,1645,480,1005,3,4,5,5,4,4.2
16,"{'CS 7641': ('A', ['23765', [[0, 'TR', 'Howey Physics L1', 20, ['Max Roozbahani (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6211': ('AL', ['32357', [[2, '', 'TBA', 1, ['Umakishore Ramachandran (P)'], 0, -1, -1]], 0, 6, 0, [], -1]), 'CSE 6242': ('A', ['24376', [[14, 'TR', 'Clough UG Learning Commons 152', 16, ['Duenhorng Chau (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6750': ('A', ['27154', [[16, 'MW', 'Manufacture Rel Discip Complex 2404', 17, ['Rosa Arriaga (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.783494372,1,390,1230,1815,750,1095,7,8,9,6,7,7.4
17,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7643': ('A', ['25932', [[0, 'WF', 'Clough UG Learning Commons 152', 16, ['Zsolt Kira (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'INTA 6742': ('A', ['29767', [[5, 'W', 'Cherry Emerson 320', 25, ['Mariel Borowitz (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6550': ('A', ['29570', [[1, 'MW', 'Weber SST III 1', 10, ['Sahil Singla (P)'], 0, -1, -1]], 3, 0, 0, [29], -1])}",3.694828704,0,210,1230,2115,750,1275,5,7,6,5,6,5.8
18,"{'CS 6457': ('A', ['24107', [[3, 'MW', 'Mason 1133', 9, ['Jeffrey Wilson (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6740': ('PAN', ['29687', [[3, 'TR', 'Clough UG Learning Commons 102', 16, ['Anqi Wu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6262': ('A', ['32012', [[1, 'TR', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Wenke Lee (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6400': ('A', ['33673', [[16, 'TR', 'Instructional Center 115', 3, ['Shamkant Navathe (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.684953947,0,420,930,1645,570,1005,5,6,6,5,5,5.4
19,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6220': ('A', ['29383', [[3, 'MW', 'Clough UG Learning Commons 152', 16, ['Srinivas Aluru (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6263': ('A', ['34255', [[14, 'MW', 'Van Leer C340', 18, ['Sukarno Mertoguno (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.491530303,0,600,930,1815,570,1095,2,3,4,5,4,3.6
20,"{'CS 6515': ('A', ['26953', [[16, 'TR', 'College of Computing 16', 13, ['Dana Randall (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6290': ('A', ['21889', [[0, 'TR', 'Klaus Advanced Computing 1443', 6, ['Thomas Conte (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6262': ('A', ['32012', [[1, 'TR', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Wenke Lee (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6643': ('A', ['24192', [[15, 'TR', 'Klaus Advanced Computing 1443', 6, ['Florian Schaefer (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.514916667,0,450,800,1645,480,1005,2,4,3,6,5,4
21,"{'CS 6250': ('A', ['33376', [[3, 'TR', 'Molecular Sciences and Engr G011', 26, ['Cecilia Testart (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6550': ('A', ['29570', [[1, 'MW', 'Weber SST III 1', 10, ['Sahil Singla (P)'], 0, -1, -1]], 3, 0, 0, [29], -1]), 'CS 7450': ('A', ['31608', [[1, 'TR', 'Instructional Center 109', 3, ['Alexander Endert (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7641': ('A', ['23765', [[0, 'TR', 'Howey Physics L1', 20, ['Max Roozbahani (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.71711501,0,240,930,1515,570,915,5,7,6,6,7,6.2
22,"{'CSE 6740': ('PAN', ['29687', [[3, 'TR', 'Clough UG Learning Commons 102', 16, ['Anqi Wu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6999': ('X04', ['32744', [[2, '', 'TBA', 1, ['Danfei Xu (P)'], 0, -1, -1]], 1, 6, 0, [], -1]), 'CS 6241': ('A', ['29375', [[1, 'MW', 'Molecular Sciences and Engr 1222', 26, ['Santosh Pande (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'ISYE 6644': ('A', ['20391', [[3, 'MW', 'J. Erskine Love Manufacturing 185', 11, ['David Goldsman (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.694989879,0,390,930,1515,570,915,5,7,6,5,6,5.8
23,"{'CS 6250': ('A', ['33376', [[3, 'TR', 'Molecular Sciences and Engr G011', 26, ['Cecilia Testart (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'INTA 6742': ('A', ['29767', [[5, 'W', 'Cherry Emerson 320', 25, ['Mariel Borowitz (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6643': ('A', ['24192', [[15, 'TR', 'Klaus Advanced Computing 1443', 6, ['Florian Schaefer (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7641': ('A', ['23765', [[0, 'TR', 'Howey Physics L1', 20, ['Max Roozbahani (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.709545566,0,240,800,2115,480,1275,4,6,8,6,6,6
24,"{'CS 6250': ('A', ['33376', [[3, 'TR', 'Molecular Sciences and Engr G011', 26, ['Cecilia Testart (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6491': ('A', ['30858', [[11, 'MWF', 'Van Leer E283', 18, ['Greg Turk (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'MATH 6644': ('A', ['29584', [[7, 'MW', 'Clough UG Learning Commons 102', 16, ['Hao-Min Zhou (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7000': ('H11', ['25668', [[2, '', 'TBA', 1, ['James Hays (P)'], 0, -1, -1]], 1, 8, 0, [], -1])}",3.821882784,1,30,930,1320,570,800,7,9,7,8,9,8
25,"{'CS 7641': ('A', ['23765', [[0, 'TR', 'Howey Physics L1', 20, ['Max Roozbahani (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6727': ('A01', ['27934', [[2, '', 'TBA', 1, ['Vijay Madisetti (P)'], 0, -1, -1]], 0, 6, 0, [], -1]), 'CS 7650': ('A', ['27707', [[1, 'MW', 'Instructional Center 211', 3, ['Wei Xu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 8803': ('DCC', ['34284', [[15, 'MW', 'J. Erskine Love Manufacturing 185', 11, ['Vijay Madisetti (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.722439378,0,570,800,1515,480,915,5,6,6,6,6,5.8
26,"{'CS 6238': ('A', ['29374', [[0, 'TR', 'Van Leer C241', 18, ['Mustaque Ahamad (P)'], 0, -1, -1]], 3, 0, 0, [0], -1]), 'CS 6390': ('A', ['34264', [[16, 'MW', 'Klaus Advanced Computing 2447', 6, ['Vivek Sarkar (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7742': ('A', ['31049', [[9, 'W', 'Manufacture Rel Discip Complex 2407', 17, ['Nader Sadegh (P)'], 0, -1, -1]], 1, 0, 0, [], -1]), 'CS 6457': ('A', ['24107', [[3, 'MW', 'Mason 1133', 9, ['Jeffrey Wilson (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.772412281,0,520,930,1645,570,1005,6,7,6,7,5,6.2
27,"{'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7742': ('A', ['31049', [[9, 'W', 'Manufacture Rel Discip Complex 2407', 17, ['Nader Sadegh (P)'], 0, -1, -1]], 1, 0, 0, [], -1]), 'CS 6550': ('A', ['29570', [[1, 'MW', 'Weber SST III 1', 10, ['Sahil Singla (P)'], 0, -1, -1]], 3, 0, 0, [29], -1]), 'CS 6263': ('A', ['34255', [[14, 'MW', 'Van Leer C340', 18, ['Sukarno Mertoguno (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.771541667,0,190,1100,1815,660,1095,6,8,8,7,8,7.4
28,"{'CS 6241': ('A', ['29375', [[1, 'MW', 'Molecular Sciences and Engr 1222', 26, ['Santosh Pande (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6211': ('AL', ['32357', [[2, '', 'TBA', 1, ['Umakishore Ramachandran (P)'], 0, -1, -1]], 0, 6, 0, [], -1]), 'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6250': ('A', ['33376', [[3, 'TR', 'Molecular Sciences and Engr G011', 26, ['Cecilia Testart (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.640371795,1,30,930,1645,570,1005,5,6,7,7,7,6.4
29,"{'CS 6250': ('A', ['33376', [[3, 'TR', 'Molecular Sciences and Engr G011', 26, ['Cecilia Testart (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6365': ('A', ['29369', [[0, 'TR', 'Klaus Advanced Computing 1456', 6, ['Calton Pu (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7000': ('B16', ['24182', [[2, '', 'TBA', 1, ['Rahul Basole (P)'], 0, -1, -1]], 1, 8, 0, [], -1]), 'CSE 6140': ('A', ['33418', [[15, 'MW', 'Paper Tricentennial 109', 22, ['Xiuwei Zhang (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.708013986,1,210,800,1345,480,825,5,5,5,4,3,4.4
30,"{'CS 6290': ('A', ['21889', [[0, 'TR', 'Klaus Advanced Computing 1443', 6, ['Thomas Conte (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6140': ('A', ['33418', [[15, 'MW', 'Paper Tricentennial 109', 22, ['Xiuwei Zhang (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6748': ('A', ['25959', [[2, '', 'TBA', 1, ['Joel Sokol (P)'], 0, -1, -1]], 6, 6, 0, [], -1]), 'CS 6675': ('A', ['29372', [[16, 'MW', 'Ford Environmental Sci &amp; Tech L1205', 5, ['Ling Liu (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.716750874,0,750,800,1645,480,1005,4,5,3,6,7,5
31,"{'CSE 6140': ('A', ['33418', [[15, 'MW', 'Paper Tricentennial 109', 22, ['Xiuwei Zhang (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6474': ('A', ['29326', [[0, 'MW', 'Klaus Advanced Computing 2447', 6, ['Munmun De Choudhury (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6999': ('X01', ['23433', [[2, '', 'TBA', 1, ['Jun Xu (P)'], 0, -1, -1]], 1, 6, 0, [], -1]), 'CSE 8803': ('CDS', ['33668', [[1, 'MW', 'Molecular Sciences and Engr G021', 26, ['Nisha Chandramoorthy (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.791028708,0,420,800,1515,480,915,6,7,7,6,5,6.2
32,"{'CS 6290': ('A', ['21889', [[0, 'TR', 'Klaus Advanced Computing 1443', 6, ['Thomas Conte (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CSE 6140': ('A', ['33418', [[15, 'MW', 'Paper Tricentennial 109', 22, ['Xiuwei Zhang (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'INTA 6742': ('A', ['29767', [[5, 'W', 'Cherry Emerson 320', 25, ['Mariel Borowitz (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6795': ('A', ['29328', [[14, 'TR', 'Scheller College of Business 202', 0, ['Ashok Goel (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.741019571,0,945,800,2115,480,1275,4,7,3,4,6,4.8
33,"{'CS 7742': ('A', ['31049', [[9, 'W', 'Manufacture Rel Discip Complex 2407', 17, ['Nader Sadegh (P)'], 0, -1, -1]], 1, 0, 0, [], -1]), 'CS 6211': ('A', ['32355', [[47, 'MW', 'TBA', 1, ['Umakishore Ramachandran (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6999': ('K12', ['26716', [[2, '', 'TBA', 1, ['Taesoo Kim (P)'], 0, -1, -1]], 1, 6, 0, [], -1]), 'CS 6998': ('E03', ['23783', [[2, '', 'TBA', 1, ['Irfan Essa (P)'], 0, -1, -1]], 1, 6, 0, [], -1])}",3.959188889,1,490,1100,2050,660,1250,1,9,1,1,1,2.6
34,"{'CSE 6644': ('A', ['29723', [[7, 'MW', 'Clough UG Learning Commons 102', 16, ['Molei Tao (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6460': ('A', ['23977', [[1, 'MW', 'Instructional Center 111', 3, ['Judith Uchidiuno (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6474': ('A', ['29326', [[0, 'MW', 'Klaus Advanced Computing 2447', 6, ['Munmun De Choudhury (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6440': ('A', ['29356', [[16, 'TR', 'Mason 5134', 9, ['Jon Duke (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.896322222,0,60,1100,1645,660,1005,10,10,9,4,6,7.8
35,"{'CS 6550': ('A', ['29570', [[1, 'MW', 'Weber SST III 1', 10, ['Sahil Singla (P)'], 0, -1, -1]], 3, 0, 0, [29], -1]), 'CSE 6643': ('A', ['24192', [[15, 'TR', 'Klaus Advanced Computing 1443', 6, ['Florian Schaefer (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7450': ('A', ['31608', [[1, 'TR', 'Instructional Center 109', 3, ['Alexander Endert (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6440': ('A', ['29356', [[16, 'TR', 'Mason 5134', 9, ['Jon Duke (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.769097222,0,600,800,1645,480,1005,5,7,6,4,6,5.6
36,"{'CS 6290': ('A', ['21889', [[0, 'TR', 'Klaus Advanced Computing 1443', 6, ['Thomas Conte (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6474': ('A', ['29326', [[0, 'MW', 'Klaus Advanced Computing 2447', 6, ['Munmun De Choudhury (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 7455': ('A', ['29357', [[1, 'MW', 'Clough UG Learning Commons 262', 16, ['Elizabeth Disalvo (P)'], 0, -1, -1]], 3, 0, 0, [], -1]), 'CS 6476': ('A', ['25049', [[16, 'TR', 'TBA', 1, ['Judy Hoffman (P)'], 0, -1, -1]], 3, 0, 0, [], -1])}",3.785416667,0,240,1230,1645,750,1005,7,8,3,8,7,6.6
